Date,Custody.AOR.Facility,Confirmed.cases.currently.under.isolation.or.monitoring,Detainee.deaths,Total.confirmed.COVID.19.cases
2020-03-27,Bergen County Jail,,NA,1
2020-03-27,Essex County Jail,,NA,1
2020-03-28,Bergen County Jail,,NA,1
2020-03-28,Essex County Jail,,NA,1
2020-03-29,Bergen County Jail,,NA,1
2020-03-29,Essex County Jail,,NA,1
2020-03-30,Bergen County Jail,,NA,2
2020-03-30,Essex County Jail,,NA,1
2020-03-30,Hudson County Jail,,NA,1
2020-03-31,Bergen County Jail,,NA,2
2020-03-31,Essex County Jail,,NA,1
2020-03-31,Hudson County Jail,,NA,1
2020-04-01,Bergen County Jail,,NA,2
2020-04-01,Essex County Jail,,NA,1
2020-04-01,Hudson County Jail,,NA,1
2020-04-02,Bergen County Jail,,NA,2
2020-04-02,Essex County Jail,,NA,1
2020-04-02,Hudson County Jail,,NA,2
2020-04-03,Bergen County Jail,,NA,2
2020-04-03,Essex County Jail,,NA,1
2020-04-03,Hudson County Jail,,NA,2
2020-04-04,Bergen County Jail,,NA,2
2020-04-04,Essex County Jail,,NA,1
2020-04-04,Hudson County Jail,,NA,2
2020-04-04,La Palma Correctional Facility,,NA,1
2020-04-04,Pike County Correctional Facility,,NA,1
2020-04-04,Pine Prairie ICE Processing Center,,NA,1
2020-04-06,Bergen County Jail,,NA,2
2020-04-06,Essex County Jail,,NA,1
2020-04-06,Hudson County Jail,,NA,2
2020-04-06,La Palma Correctional Facility,,NA,1
2020-04-06,Pike County Correctional Facility,,NA,4
2020-04-06,Pine Prairie ICE Processing Center,,NA,1
2020-04-06,York County Prison,,NA,1
2020-04-06,Otay Mesa Detention Center (San Diego CDF),,NA,1
2020-04-07,Bergen County Jail,,NA,2
2020-04-07,Essex County Jail,,NA,2
2020-04-07,Hudson County Jail,,NA,2
2020-04-07,La Palma Correctional Facility,,NA,2
2020-04-07,LaSalle ICE Processing Center - Olla,,NA,1
2020-04-07,Pike County Correctional Facility,,NA,5
2020-04-07,Pine Prairie ICE Processing Center,,NA,1
2020-04-07,Saint Clair County Jail,,NA,1
2020-04-07,York County Prison,,NA,1
2020-04-07,Otay Mesa Detention Center (San Diego CDF),,NA,1
2020-04-07,at local hospital,,NA,1
2020-04-08,Bergen County Jail,,NA,2
2020-04-08,Elizabeth Detention Center,,NA,7
2020-04-08,Essex County Jail,,NA,2
2020-04-08,Hudson County Jail,,NA,4
2020-04-08,La Palma Correctional Facility,,NA,2
2020-04-08,LaSalle ICE Processing Center - Olla,,NA,1
2020-04-08,Pike County Correctional Facility,,NA,5
2020-04-08,Pine Prairie ICE Processing Center,,NA,1
2020-04-08,Saint Clair County Jail,,NA,1
2020-04-08,York County Prison,,NA,1
2020-04-08,Otay Mesa Detention Center (San Diego CDF),,NA,5
2020-04-08,at local hospital,,NA,1
2020-04-09,Bergen County Jail,,NA,2
2020-04-09,Elizabeth Detention Center,,NA,7
2020-04-09,Essex County Jail,,NA,2
2020-04-09,Hudson County Jail,,NA,5
2020-04-09,La Palma Correctional Facility,,NA,2
2020-04-09,LaSalle ICE Processing Center - Olla,,NA,1
2020-04-09,Pike County Correctional Facility,,NA,5
2020-04-09,Pine Prairie ICE Processing Center,,NA,1
2020-04-09,Saint Clair County Jail,,NA,1
2020-04-09,York County Prison,,NA,1
2020-04-09,Otay Mesa Detention Center (San Diego CDF),,NA,7
2020-04-09,at local hospital,,NA,1
2020-04-10,Bergen County Jail,,NA,2
2020-04-10,Buffalo (Batavia) Service Processing Center,,NA,4
