Date,Total.Detained,Total.Cumulative.COVID.19,Total.Tested,Total.Deaths,Total.COVID.19.Confirmed.in.Custody
2020-03-27,NA,2,NA,NA,NA
2020-03-28,NA,2,NA,NA,NA
2020-03-29,NA,2,NA,NA,NA
2020-03-30,NA,4,NA,NA,NA
2020-03-31,NA,4,NA,NA,NA
2020-04-01,NA,4,NA,NA,NA
2020-04-02,NA,6,NA,NA,NA
2020-04-04,NA,8,NA,NA,NA
2020-04-06,NA,13,NA,NA,NA
2020-04-07,NA,13,NA,NA,NA
2020-04-08,NA,19,NA,NA,NA
2020-04-09,NA,35,NA,NA,NA
2020-04-10,NA,50,NA,NA,NA
2020-04-11,NA,62,NA,NA,NA
2020-04-12,NA,61,NA,NA,NA
2020-04-13,NA,61,NA,NA,NA
2020-04-14,NA,72,NA,NA,NA
2020-04-15,NA,89,NA,NA,NA
2020-04-16,NA,100,NA,NA,NA
2020-04-17,NA,105,NA,NA,NA
2020-04-18,NA,124,NA,NA,NA
2020-04-19,NA,124,NA,NA,NA
2020-04-20,NA,220,NA,NA,NA
2020-04-21,NA,250,NA,NA,NA
2020-04-22,NA,287,NA,NA,NA
2020-04-23,NA,287,NA,NA,NA
2020-04-24,NA,332,NA,NA,NA
2020-04-25,29675,332,NA,NA,NA
2020-04-26,29675,332,NA,NA,NA
2020-04-27,29675,373,NA,NA,NA
2020-04-28,29675,360,NA,NA,NA
2020-04-29,29675,425,705,NA,NA
2020-04-30,29675,490,1030,NA,NA
2020-05-01,29675,490,1030,NA,NA
2020-05-02,29675,522,1073,NA,NA
2020-05-03,29675,522,1073,NA,NA
2020-05-04,29675,606,1285,NA,NA
2020-05-05,29675,606,1285,NA,NA
2020-05-06,29675,705,1460,NA,NA
2020-05-07,29675,705,1460,NA,NA
2020-05-08,29675,753,1528,NA,NA
2020-05-09,27908,788,1528,NA,NA
2020-05-10,26660,788,1593,NA,NA
2020-05-11,26660,869,1686,NA,NA
2020-05-13,26660,943,1788,NA,NA
2020-05-14,26660,943,1788,NA,NA
2020-05-15,26660,986,2045,NA,NA
2020-05-16,26660,986,2045,NA,NA
2020-05-17,26660,986,2045,NA,NA
2020-05-18,26660,986,2045,NA,NA
2020-05-19,26660,1073,2172,NA,NA
2020-05-20,26660,1145,2194,NA,NA
2020-05-21,26660,1181,2368,NA,NA
2020-05-22,25911,1201,2394,NA,NA
2020-05-23,25911,1201,2394,NA,NA
2020-05-24,25911,1201,2394,NA,NA
2020-05-25,25911,1201,2394,NA,NA
2020-05-26,25911,1312,2535,NA,NA
2020-05-27,25911,1327,2620,NA,NA
2020-05-28,25911,1392,2670,NA,NA
2020-05-29,25911,1392,2670,NA,NA
2020-05-30,25421,1406,2781,NA,NA
2020-05-31,25421,1406,2781,NA,NA
2020-06-01,25421,1461,2781,2,754
2020-06-02,25421,1461,2781,2,754
2020-06-03,25421,1579,3092,2,813
2020-06-04,25421,1579,3092,2,813
2020-06-05,25421,1595,3113,2,818
2020-06-06,24713,1623,3146,2,781
2020-06-07,24713,1623,3146,2,781
2020-06-08,24713,1709,5096,2,838
2020-06-09,24713,1709,5096,2,838
2020-06-10,24713,1780,5096,2,788
2020-06-11,24713,1810,5096,2,801
2020-06-12,24713,1849,5096,2,785
2020-06-13,24041,1849,5096,2,785
2020-06-14,24041,1849,5096,2,785
2020-06-15,24041,2016,5096,2,929
2020-06-16,24041,2016,5096,2,929
2020-06-17,24041,2110,7364,2,871
2020-06-18,24041,2110,7364,2,871
2020-06-19,24041,2210,7364,2,818
2020-06-20,24041,2210,7364,2,818
2020-06-21,24041,2210,7364,2,818
2020-06-22,24041,2343,8858,2,863
2020-06-23,24041,2403,8858,2,837
2020-06-24,23429,2403,8858,2,837
2020-06-25,23429,2489,8858,2,899
2020-06-26,23429,2521,8858,2,810
2020-06-27,22805,2572,8858,2,751
2020-06-28,22805,2572,8858,2,751
2020-06-29,22805,2675,10513,2,793
2020-06-30,22805,2675,10513,2,793
2020-07-01,22805,2742,10513,2,752
2020-07-02,22805,2742,10513,2,752
2020-07-03,22805,2742,10513,2,752
2020-07-04,22579,2742,10513,2,752
2020-07-05,22579,2742,10513,2,752
2020-07-06,22579,2742,10513,2,752
2020-07-07,22579,2949,11828,2,836
2020-07-08,22579,3007,11828,2,835
2020-07-09,22579,3077,11828,2,871
2020-07-10,22835,3090,11828,2,883
2020-07-11,22340,3090,11828,2,883
2020-07-12,22340,3090,11828,2,883
2020-07-13,22340,3090,11828,2,883
2020-07-14,22340,3471,13562,3,1175
2020-07-15,22340,3567,13562,3,1110
2020-07-16,22340,3567,13562,3,1110
2020-07-17,22405,3567,13562,3,1110
2020-07-18,22142,3596,13562,3,967
