Custody/AOR/Facility,Manager,Type,FY21_yr_to_date,Address,City,State,Zip,Latitude,Longitude
Adams County Correctional Center,CoreCivic,Private,Y,20 Hobo Fork Rd.,Natchez,MS,39120,31.555506,-91.218611
Adelanto ICE Processing Center,ICE,ICE,Y,10250 Rancho Road,Adelanto,CA,92301,34.559424,-117.442225
Alexandria Staging Facility,GeoGroup,Private,Y,96 George Thompson Drive,Alexandria,LA,71303,31.259983,-92.53434
Allen Parish Detention Center,Sheriff,Public,Y,7340 Highway 26 West,Oberlin,LA,70655,30.622443,-92.774923
Aurora Contract Detention Facility,GeoGroup,Private,n,3130 North Oakland Street,Aurora,CO,80010,39.761052,-104.849066
Baker County Detention Center,Sheriff,Public,Y,1 Sheriff Office Drive,Macclenny,FL,32063,30.295839,-82.121572
Bergen County Jail,Sheriff,Public,Y,160 South River Street,Hackensack,NJ,7601,40.87379,-74.038963
Berks Family Residential Center,County,Public,n,1040 Berks Road,Leesport,PA,19533,40.480914,-75.922056
Best Western Hotel - El Paso,Best Western,Hotel,n,2001 Airway Boulevard,El Paso,TX,79925,31.795469,-106.403586
Bluebonnet Detention Facility,MTC,Private,Y,400 2nd Street,Anson,TX,79501,32.767645,-99.888084
Boone County Jail,Sheriff,Public,Y,3020 Conrad Lane,Burlington,KY,41005,39.036327,-84.709032
Bristol County Detention Center,Sheriff,Public,Y,400 Faunce Corner Road,North Dartmouth,MA,2747,41.667232,-70.993598
Broward Transitional Center,GeoGroup,Private,Y,3900 North Powerline Road,Pompano Beach,FL,33073,26.277188,-80.150817
Buffalo (Batavia) Service Processing Center,ICE,ICE,Y,4250 Federal Drive,Batavia,NY,14020,43.020617,-78.201559
Butler County Jail,Sheriff,Public,Y,705 Hanover Street,Hamilton,OH,45011,39.389759,-84.555672
Cache County Jail,Sheriff,Public,n,1225 West Valley View #100,Logan,UT,84321,41.717722,-111.836493
Calhoun County Correctional Center,Sheriff,Public,Y,185 East Michigan Avenue,Battle Creek,MI,49014,42.315719,-85.176527
Cambria County Prison,County,Public,Y,425 Manor Drive,Ebensburg,PA,15931,40.484404,-78.701412
Caroline Detention Facility,County,Public,Y,11093 S.W. Lewis Memorial Drive,Bowling Green,VA,22427,38.111586,-77.267148
Catahoula Correctional Center,LaSalle,Private,n,499 Old Columbia Road,Harrisonburg,LA,71340,31.77501,-91.836953
CCA Florence Correctional Center,CoreCivic,Private,Y,1100 Bowling Road,Florence,AZ,85132,33.044083,-111.371772
Charleston County Detention Center,Sheriff,Public,n,3841 Leeds Avenue,North Charleston,SC,29405,32.847177,-80.014186
Chase County Detention Facility,Sheriff,Public,n,301 S. Walnut,Cottonwood Falls,KS,66845,38.367157,-96.538447
Cibola County Correctional Center,CoreCivic,Private,n,2000 Cibola Loop,Milan,NM,87021,35.179983,-107.90859
Clay County Justice Center,Sheriff,Public,Y,611 East Jackson Street,Brazil,IN,47834,39.523722,-87.11907
Clinton County Correctional Facility,County,Public,Y,419 Shoemaker Road,Lock Haven,PA,17745,41.154786,-77.337113
Coastal Bend Detention Center,GeoGroup,Private,Y,4909 FM (Farm To Market) 2826,Robstown,TX,78380,27.795517,-97.752083
Columbia Regional Care Center,Wellpath,Private,n,7901 Farrow Road,Columbia,SC,29203,34.080135,-80.977057
Comfort Suites - El Paso,Comfort Inn,Private,n,6645 Gateway Blvd W,El Paso,TX,79925,31.780204,-106.39506
Cumberland County Jail,Sheriff,Public,n,50 County Way,Portland,ME,4102,43.65117,-70.28184
Dodge County Jail,Sheriff,Public,n,85 Industrial Blvd,Eastman,GA,31023,32.178985,-83.162298
Douglas County Corrections,County,Public,Y,710 South 17th St,Omaha,NE,68102,41.253337,-95.938262
Eden Detention Center,CoreCivic,Private,Y,702 E Broadway St,Eden,TX,76837,31.21662,-99.834003
El Paso County Jail,Sheriff,Public,n,2739 East Las Vegas Street,Colorado Spring,CO,80906,38.787409,-104.779556
El Paso Service Processing Center,ICE,ICE,Y,8915 Montana Ave.,El Paso,TX,79925,31.793485,-106.369396
El Valle Detention Facility,MTC,Private,Y,1800 Industrial Drive,Raymondville,TX,78580,26.470578,-97.761119
Elizabeth Detention Center,CoreCivic,Private,Y,625 Evans Street,Elizabeth,NJ,7201,40.666175,-74.188848
Eloy Federal Contract Facility,CoreCivic,Private,Y,1705 East Hanna Rd.,Eloy,AZ,85131,32.817595,-111.522377
Essex County Jail,County,Public,Y,354 Doremus Avenue,Newark,NJ,7105,40.720435,-74.124278
Etowah County Jail,Sheriff,Public,Y,827 Forrest Avenue,Gadsden,AL,35901,34.016532,-86.012369
Florence Detention Center,ICE,ICE,Y,3250 North Pinal Parkway,Florence,AZ,85132,33.063608,-111.379047
Folkston ICE Processing Center (Main),GeoGroup,Private,Y,3026 Hwy 252 East,Folkston,GA,31537,30.838002,-81.999781
Franklin County House of Corrections,Sheriff,Public,Y,160 Elm Street,Greenfield,MA,1301,42.596727,-72.6131
Freeborn County Adult Detention Center,Sheriff,Public,Y,411 South Broadway Avenue,Albert Lea,MN,56007,43.646319,-93.368027
Geauga County Jail,Sheriff,Public,Y,12450 Merritt Dr,Chardon,OH,44024,41.504957,-81.192105
Glades County Detention Center,Sheriff,Public,Y,1297 East Sr 78,Moore Haven,FL,33471,26.886471,-81.195575
Golden State Annex Facility,GeoGroup,Private,Y,611 Frontage Rd,Mcfarland,CA,93250,35.6681,-119.225818
Hall County Sheriff,Sheriff,Public,Y,110 Public Safety Drive,Grand Island,NE,68801,40.87227,-98.368698
Hancock County Jail,Sheriff,Public,n,123 E Main St,Greenfield,IN,46140,39.784859,-85.767301
Hardin County Jail,County,Public,Y,1116 14Th Avenue,Eldora,IA,50627,42.359829,-93.09744
Henderson Detention Center,City,Public,Y,18 E Basic Road,Henderson,NV,89015,36.030591,-114.979471
Holiday Inn - Chandler,Holiday Inn,Private,n,1200 W Ocotillo Rd,Chandler,AZ,85248,33.248172,-111.866488
Houston Contract Detention Facility,CoreCivic,Private,Y,15850 Export Plaza Drive,Houston,TX,77032,29.950538,-95.312224
Howard R. Young Correctional Institution,State,Public,n,1301 E 12th St,Wilmington,DE,1902,39.74204388,-75.52980873
Howard County Detention Center,County,Public,Y,7301 Waterloo Road,Jessup,MD,20794,39.169227,-76.781823
